model_name,split_name,patch_idx,trust_score_pct,mean_risk,pct_high_risk,norm_disagreement,norm_stability,norm_spectral,norm_structural,raw_disag_mean,raw_stab_mean,raw_spectral_mean,raw_struct_mean,psnr_db,ssim,psnr_gain,gradient_corr,edge_iou,edge_f1
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",14,83.78,0.1622,0.0,0.1159052699804306,0.24483276903629303,0.13714006543159485,0.15084877610206604,0.001448843628168106,0.0004979610675945878,0.02087,0.02974567376077175,38.76,0.9266,0.1699999999999946,0.8219,0.3731,0.5434
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",15,84.67,0.1533,0.0,0.11382617056369781,0.2406470775604248,0.1389298439025879,0.11994937062263489,0.001450731884688139,0.0004945937544107437,0.02118,0.030336085706949234,38.77,0.9272,0.17999999999999972,0.8227,0.4041,0.5756
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",16,84.3,0.157,0.0,0.11764082312583923,0.23306351900100708,0.1480002999305725,0.12918981909751892,0.0014270314713940024,0.0004961760132573545,0.02062,0.029620256274938583,38.89,0.9286,0.18999999999999773,0.8199,0.3912,0.5624
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",17,85.17,0.1483,0.0,0.12158118933439255,0.22257071733474731,0.15132394433021545,0.09767606854438782,0.0015131831169128418,0.0005012304754927754,0.02016,0.029339591041207314,38.98,0.9309,0.1699999999999946,0.8351,0.3793,0.55
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",18,86.26,0.1374,0.0,0.1357586830854416,0.1869250386953354,0.12474647164344788,0.10226617753505707,0.0015320288948714733,0.000505995936691761,0.01965,0.02911137044429779,39.06,0.9336,0.1600000000000037,0.8225,0.3756,0.5461
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",19,86.78,0.1322,0.0,0.12323719263076782,0.17046314477920532,0.14912822842597961,0.0857924148440361,0.0016303702723234892,0.000512172351591289,0.01997,0.029277253895998,38.91,0.9322,0.13999999999999346,0.8728,0.3248,0.4904
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",20,86.0,0.14,0.0,0.1225479394197464,0.19130638241767883,0.14798133075237274,0.0982687845826149,0.0016645556315779686,0.0005085583543404937,0.01964,0.030515031889081,38.66,0.9304,0.12999999999999545,0.8682,0.3559,0.5249
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",21,85.61,0.1439,0.0,0.11837781965732574,0.18218141794204712,0.15704187750816345,0.11815349757671356,0.0014718207530677319,0.000516766041982919,0.02124,0.030239300802350044,38.72,0.9272,0.17999999999999972,0.8218,0.3993,0.5707
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",22,83.76,0.1624,0.0,0.12147814780473709,0.22048978507518768,0.1730627566576004,0.13449174165725708,0.0014618844725191593,0.0005187892238609493,0.02147,0.03056664578616619,38.65,0.9261,0.17999999999999972,0.82,0.4045,0.576
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",23,84.63,0.1537,0.0,0.11832111328840256,0.22933021187782288,0.13932213187217712,0.1277926117181778,0.0014318334870040417,0.0005113233346492052,0.02107,0.030069563537836075,38.81,0.9275,0.17999999999999972,0.8088,0.3969,0.5682
Baseline Legacy Ensemble,"Phase 4 Held-out (Split v1, 49 patches)",24,86.45,0.1355,0.0,0.12257935106754303,0.19062522053718567,0.13158735632896423,0.09704587608575821,0.0014750361442565918,0.0005039959214627743,0.02062,0.029078001156449318,38.96,0.9303,0.1600000000000037,0.8325,0.3504,0.519
